time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
7.16184253855E-6,919.041641028E-3,1.00000000000,100.000000000E-3
7.26184253855E-6,918.795692388E-3,1.00000000000,100.000000000E-3
7.36184253855E-6,918.529250465E-3,1.00000000000,100.000000000E-3
7.46184253855E-6,918.245881750E-3,1.00000000000,100.000000000E-3
7.56184253855E-6,917.949118248E-3,1.00000000000,100.000000000E-3
7.66184253855E-6,917.642446932E-3,1.00000000000,100.000000000E-3
7.76184253855E-6,917.329274598E-3,1.00000000000,100.000000000E-3
7.86184253855E-6,917.012881295E-3,1.00000000000,100.000000000E-3
7.96184253855E-6,916.696378434E-3,1.00000000000,100.000000000E-3
8.06184253855E-6,916.382681342E-3,1.00000000000,100.000000000E-3
8.16184253855E-6,916.074496736E-3,1.00000000000,100.000000000E-3
8.26184253855E-6,915.774319097E-3,1.00000000000,100.000000000E-3
8.36184253855E-6,915.484428666E-3,1.00000000000,100.000000000E-3
8.46184253855E-6,915.206886734E-3,1.00000000000,100.000000000E-3
8.56184253855E-6,914.943528009E-3,1.00000000000,100.000000000E-3
8.66184253855E-6,914.695952765E-3,1.00000000000,100.000000000E-3
8.76184253855E-6,914.465521896E-3,1.00000000000,100.000000000E-3
8.86184253855E-6,914.253356661E-3,1.00000000000,100.000000000E-3
8.96184253855E-6,914.060342967E-3,1.00000000000,100.000000000E-3
9.06184253855E-6,913.887138787E-3,1.00000000000,100.000000000E-3
9.16184253855E-6,913.734183053E-3,1.00000000000,100.000000000E-3
9.26184253855E-6,913.601705046E-3,1.00000000000,100.000000000E-3
9.36184253855E-6,913.489734114E-3,1.00000000000,100.000000000E-3
9.46184253855E-6,913.398110123E-3,1.00000000000,100.000000000E-3
9.56184253855E-6,913.326495143E-3,1.00000000000,100.000000000E-3
9.66184253855E-6,913.274386538E-3,1.00000000000,100.000000000E-3
9.76184253855E-6,913.241131288E-3,1.00000000000,100.000000000E-3
9.86184253855E-6,913.225941094E-3,1.00000000000,100.000000000E-3
9.93092126927E-6,913.225593246E-3,1.00000000000,100.000000000E-3
10.0000000000E-6,913.233148917E-3,1.00000000000,100.000000000E-3
